id,label,tweets
0,56,help me forget 8th april &amp; 13th july! 
0,57,"dierks bentley is comin' to columbus, OH!! i wanna go so bad "
0,58,i have to take my sidekick back. 
0,59,@chriscantore congrats! I'm totally jealous! only wish my XM was working 
0,60,gr8t my face is very itchy 
0,61,poor socks  luvvvvv the golden retriever!! I want one sighhhh
0,62,I just saw that they found that Tracy girl in a piece of luggage... How fucking terrible 
0,63,Aaaaand the nausea is back. 
0,64,@DonnieWahlberg ooh I�m excited and not even going 2 be there  long love YOUTUBE!
0,65,spent 1 hour to reach to Axis bank only to find out today is holiday for Mahavir Jayanti  contd..
0,66,@mathewsmichael  i agree... the jobros dont update theres very often 
0,67,@fishmouse it is hilarious and I linked the clip from LJ some time ago but when I went back just now it was a dead link 
0,68,@DiannePulham OOOOOOOO who with? (im not neither but thats because i need to study  )
0,69,"Haven't tweeted nearly all day  Posted my website tonight, hopefully that goes well  Night time!"
0,70,@bostongarden I miss bentley 
0,71,seriously needs to finish these job applications 
0,72,"My son Vincas is sick, so I stay at home  Just three tense days at work, and I am back on holiday with kids"
0,73,Whinging. My client&amp;boss don't understand English well. Rewrote some text unreadable. It's written by v. good writer&amp;reviewed correctly. 
0,74,@huntermoore I don't want him to ever punch me.  
0,75,sooo sick of the snow  ughh
0,76,@ITS_NEMESIS ------- 
0,77,@LoveMeagan it doesn't work your fan is upset 
0,78,I would like to apologize for the repeated Video Games Live related tweets. I am going to have a stern discussion with Koodo soon. Stern. 
0,79,@zaydia but i cant figure out how to get there / back / pay for a hotel etc 
0,80,"FML: So much for seniority, bc of technological ineptness, I now have to &quot;register&quot; for classes AGAIN "
0,81,feels like she slept the day away.    Not looking forward to any more bouts with my gallbladder.  At least I have pills now for the pain.
0,82,@ThaStevieG but what I really want is my old bass back 
0,83,Mad tired today... Callin it in early tonight  nighty night twittas
0,84,"@LevenRambin: Take it easy, and be good to you. "
0,85,I'm afraid I had bad code. 
0,86,Think I'm going to bed. Goodniight. I hate this 
0,87,"@riancurtis  i'm here, friend, and i love you."
0,88,@kariajay  All this time you didn't notice I was gone...just needed DB2 is it??
0,89,@aaronrva is in the bathroom and i have to pee!    
0,90,@ashleyskyy but I wanted a margarita too! 
0,91,@KourtneyKardash yup night workouts r the worst but unfortunetly my work schedule only allows me to go at night  its tough!
0,92,Just called Hillsong again - they said they couldn't tell me where I was on the waiting list - I don't know if it's looking so good 
0,93,"has 0g of milky bar left, and around 200ml of coke "
0,94,@jokerrrr It stillllll hasn't arrived 
0,95,"Mraow, I feel like dancing, but first art school wants to rape me some more. "
0,96,@karenucol ah! I bet it does I've been like craving to play softball or basketball !!! But I have noo time 
0,97,Is terrified she accidentally deleted a reference in her management assignment and hopes she doesnt get in trouble when she gets back 
0,98,amazon s3 plugin not worked in my website . it need PHP 5 . but my hosting provider has only PHP 4.4  . very sad.
0,99,"Argh! I was suuuper sleepy an hour ago, now I'm wide awake.  Hope I don't stay up all night. :-/"
0,100,"@austinhill I wish I was!  Sold out   If you have some time let me know, I would love to hear more about what you are up to!"
0,101,Just watched tropic thunder. Dreading tomorrow 
0,102,@qweendassah no...he's still miss'n... 
0,103,ChiefDelphi is down 
0,104,"http://twitpic.com/2y2wr - according to my bro, our new puppy had a poo fight and was covered in poop  (picture stolen from him)"
0,105,playing game at home! my new boss didn't call me yet... 
0,106,Su yin Huen tweeted I feel unbearable guilt. I made my staff cry  http://tinyurl.com/cw2l9t
0,107,Poor Joshy is sick???   those damn tejanos!
0,108,My thoughts are with Sandra Cantu's family at this difficult and sad time 
0,109,"@FranzGlaus I know, just wanted to let everybody know what was happening  "
0,110,Michigan who?  I don't know them.                   *sigh*   Shameful!
0,111,i have to fill two hours 
0,112,"@alicayaba so cuuute! hey, i miss you na!  its not the same not seeing you girls everyday "
0,113,@JonathanRKnight Oh! Did I mention it? &quot;Gooooood Moooorniiiiiiing&quot;  from Germany! Im back in my cage....or better...my office 
0,114,throat is closing up and i had some string cheese. not a good idea 
0,115,"Aww, Sandra Cantu is found dead in a suitcase  Missing children stories never seem to go good. Poor family."
0,116,wishing i was home underneath my covers 
0,117,walking home from school drains all my energy 
0,118,"@ridley1013 I agree. The shapeshifting is a copout. I was so excited for Angela's ep, I thought it was this week.  Noah was awesome tho!"
0,119,@SaveTheStrib Dang! I would have done this if I knew it was there earlier.  Any other outings planned?
0,120,I wish I was better at writing. It's taking me so long to write this paper. 
0,121,..and of course... I have access to my Halo 3 Mythic Map Pack re-download.. but bad news.. not the Legendary Map Pack... ugh.. 600MS... 
0,122,"@vene2ia ...not yet unfortunately, another few weeks I've been told  How are you? I've been a little bit busy with my latest project."
0,123,@thecoolestout Ha the sun's already gone 
